ISALE/IDIMANGORO ,ANWAR-UL-ISLAM COLLEGE ,ANWAR-UL-ISLAM COLLEGE 
ILORO/ONIPETESI ,ST. JOSEPH COMM. HIGH SCH.ILORO ,ST. JOSEPH COMM. HIGH SCH.ILORO 
ONIWAYA/PAPA-UKU ,SALVATION ARMY PRY. SCHOOL ,SALVATION ARMY PRY. SCHOOL 
AGBOTIKUYO/DOPEMU ,IBUKUN-OLU PRY. SCHOOL ,IBUKUN-OLU PRY. SCHOOL 
OYEWOLE/PAPA ASHAFA ,"STATE HIGH SCHOOL,ONEWOLE ","STATE HIGH SCHOOL,ONEWOLE "
OKEKOTO ,ST.PETERS BLESSED PRY. SCH. OKEKOTE ,ST.PETERS BLESSED PRY. SCH. OKEKOTE 
KEKE ,DAIRY FARM SECONDARY SCHOLL ,DAIRY FARM SECONDARY SCHOLL 
DAROCHA ,ANWAR-ISLAM PRY. SCH.GUINESS ROAD ,ANWAR-ISLAM PRY. SCH.GUINESS ROAD 
TABON TABON/OKO OBA ,METHODIST PRY. SCH. TABONTABON- OKO-OBA ,METHODIST PRY. SCH. TABONTABON- OKO-OBA 
ORILE AGEGE/OKO OBA ,ORILE AGEGE COMMUNITY HIGH SCH. OGUNDELE ,ORILE AGEGE COMMUNITY HIGH SCH. OGUNDELE 
ISALE ODO ,GOVERNMENT COLLEGE ALAABA ,GOVERNMENT COLLEGE ALAABA 
AGO HAUSA ,L.A. PRY. SCH ,L.A. PRY. SCH 
,,
AWODI ORA ,AWODI-ORA SEC.SCH. ,AWODI-ORA SEC.SCH. 
,,
WILMER ,IBAFON PRY. SCH. ,IBAFON PRY. SCH. 
,,
OLODI ,L.A PRY. SCH. OSHO DRIVE ,L.A PRY. SCH. OSHO DRIVE 
,,
TOLU/ALAYABIAGBA ,L.A PRY SCH 11 ,L.A PRY SCH 11 
,,
TEMDIRE 1/ADEOLU ,OJOKU HIGH SCH. ,OJOKU HIGH SCH. 
,,
OJO ROAD ,L.A PRY SCH OJO ROAD ,L.A PRY SCH OJO ROAD 
,,
LAYENI ,GASKIYA SNR SEC SCH. ,GASKIYA SNR SEC SCH. 
,,
ALABA-ORO ,OLANIYONU PRY. SCH. ,OLANIYONU PRY. SCH. 
,,
MOSAFEJO ,OLADIPO PRY SCH. ,OLADIPO PRY SCH. 
,,
TEMIDIRE 11/ALAKOTO ,ALAKOTO PRY.SCH. ,ALAKOTO PRY.SCH. 
,,
SHASHA/AKOWONJO ,ABATI PRY SCH. ,ABATI PRY SCH. 
,,
EBGEDA/ALIMOSHO ,EBENEZER PRY.SCH ,EBENEZER PRY.SCH 
,,
IDIMU/ISHERI ,LG. PRY. SCH. IDIMU ,LG. PRY. SCH. IDIMU 
,,
IKOTUN/IJEGU ,GOVT TECH COLL.IKOTUN ,GOVT TECH COLL.IKOTUN 
,,
EBGE/AGODO ,MUSLIM COLL. EGBE ,MUSLIM COLL. EGBE 
,,
IGANDO/EGAN ,COMM.GRAM SCH IGANDO ,COMM.GRAM SCH IGANDO 
,,
IPAJA/NORTH ,ST. ANDREW PRY. SCH. ,ST. ANDREW PRY. SCH. 
,,
IPAJA/SOUTH ,ALIMOSHO GRAMM SCH. ,ALIMOSHO GRAMM SCH. 
,,
AYOBO/IJON ,SALVATION ARMY PRY.SCH. ,SALVATION ARMY PRY.SCH. 
,,
PLEASURE OKE-ODO ,ALAGUNTAN PRY. SCH ,ALAGUNTAN PRY. SCH 
,,
ABULE EBGA ALAGBADO ,AFRICA CHURCH PRY.SCH. ,AFRICA CHURCH PRY.SCH. 
,,
HOUSING ESTATE ,UNITY PRY SCH/ESTH. ,UNITY PRY SCH/ESTH. 
,,
FESTAC 1 ,FESTAC COLLEGE ,FESTAC COLLEGE 
,,
FESTAC 11 ,5TH AVENUE PRY.SCH. ,5TH AVENUE PRY.SCH. 
,,
KIRIKIRI ,DR. LUCAS MEM. PRY.SCH. ,DR. LUCAS MEM. PRY.SCH. 
,,
AGBODU ,AMUWO GRAMMAR SCH. ,AMUWO GRAMMAR SCH. 
,,
IJEGUN ,IJEGUN EGBA PRY. SCH ,IJEGUN EGBA PRY. SCH 
,,
SATELITE ,IJEGUN EGBA PRY. SCH ,IJEGUN EGBA PRY. SCH 
,,
IREDE ,S.A PRY. SCH. IAKRE ,S.A PRY. SCH. IAKRE 
,,
IBESHI ,L.A PRY. SCH. IBESHE ,L.A PRY. SCH. IBESHE 
,,
IGBOLOGUN ,L.A PRY. SCH. IGBOLOGUN ,L.A PRY. SCH. IGBOLOGUN 
,,
FESTAC 111 ,"3RD AVE, PRY SCH, FESTAC ","3RD AVE, PRY SCH, FESTAC "
,,
APAPA 1 ,"APAPA LOCAL GOVERNMENT,SECRETARIAT ","APAPA LOCAL GOVERNMENT,SECRETARIAT "
,,
APAPA 11 ,UNITED XTIAN SECONDARY SCHOOL ,UNITED XTIAN SECONDARY SCHOOL 
,,
APAPA 111 ,UNITED XTIAN PRIMARY SCHOOL ,UNITED XTIAN PRIMARY SCHOOL 
,,
APAPA 1V ,APAPA PRY. SCH. ,APAPA PRY. SCH. 
,,
IJORA- OLOYE ,IJORE- OLOYE PRY. SCH. ,IJORE- OLOYE PRY. SCH. 
,,
IGANMU &ENVIROS ,DAVID SALVAGE PRY.SCH. ,DAVID SALVAGE PRY.SCH. 
,,
GASKIYA ,BADIA PRY. SCH. ,BADIA PRY. SCH. 
,,
AFOLABI ALASIA ,ST. THERESA PRY. SCH. ,ST. THERESA PRY. SCH. 
,,
MALU ROAD ,ANGLICAN PRY. SCH. ,ANGLICAN PRY. SCH. 
,,
SARI ,IREPODUN PRY. SCH. ,IREPODUN PRY. SCH. 
,,
POSUKOH ,BADAGRY PRY. SCH. ,BADAGRY PRY. SCH. 
,,
AWHAJIGHO ,METHODIST HIGH SCH BAG. ,METHODIST HIGH SCH BAG. 
,,
IBEREKO ,L.A PRY. SCH. IBEREKO ,L.A PRY. SCH. IBEREKO 
,,
APA ,L.A PRY APA ,L.A PRY APA 
,,
KETA EAST ,KANKON SEC SCH. KANKON ,KANKON SEC SCH. KANKON 
,,
IWORO/GBANKO ,AGN PRY.SCH IWORO ,AGN PRY.SCH IWORO 
,,
AJIDO ,IWORO AJIDO HIGH SCH. AJIDO ,IWORO AJIDO HIGH SCH. AJIDO 
,,
OLOGBO/ARAROMI ,ARAROMI/ILOGBO SEC SCH OKO AFO ,ARAROMI/ILOGBO SEC SCH OKO AFO 
,,
